strategy_name,block_interleaved_quarters,center_edge_alternating,center_out,edge_in,edge_in_alternating_LHI,UPB_A07_V01,greedy_maximin_distance,run36_greedy_maximin_distance_adjacent_swap_0002,run36_greedy_maximin_distance_adjacent_swap_0009,run36_greedy_maximin_distance_adjacent_swap_0021,run36_greedy_maximin_distance_adjacent_swap_0023,run36_greedy_maximin_distance_adjacent_swap_0029,run36_greedy_maximin_distance_adjacent_swap_0045,run36_greedy_maximin_distance_adjacent_swap_0046,run36_greedy_maximin_distance_adjacent_swap_0050,run36_greedy_maximin_distance_adjacent_swap_0054,run36_greedy_maximin_distance_adjacent_swap_0055,run36_greedy_maximin_distance_adjacent_swap_0066,run36_greedy_maximin_distance_adjacent_swap_0072,run36_greedy_maximin_distance_adjacent_swap_0073,run36_greedy_maximin_distance_adjacent_swap_0081,V02_M00_NDK_R24_V01,V02_M00_PGJ_V01,V02_M00_PGN_R24_V01,V02_M00_PGR_R24_V01,mc_cand_001,mc_cand_002,mc_cand_004,mc_cand_006,mc_cand_066,mc_cand_067,mc_cand_121,mc_cand_129,mc_extra_001,mc_extra_002,mc_extra_003,mc_extra_004,mc_extra_005,mc_extra_006,mc_extra_007,mc_extra_008,mc_extra_009,mc_extra_010,mc_extra_011,mc_extra_012,mc_extra_013,mc_extra_014,mc_extra_015,mc_extra_016,mc_extra_017,mc_extra_018,mc_extra_019,mc_extra_020,multi_lag_regular_jump,UPB_A03_V01,odd_even_interlaced,formal_raster_left_to_right,smartscan_proxy_variance,raster_left_to_right,windowed_max_dispersion,GNNU_A01_V01,GNNU_A02_V01,GNNU_A03_V01,GNNU_A04_V01,RL20_A01_V01,RL20_A02_V01,RL20_A03_V01,RL20_A04_V01,RL20_A05_V01,RL20_A06_V01,RL20_A07_V01,RL20_A08_V01,RL20_A09_V01,RL20_A10_V01,RL20_A11_V01,RL20_A12_V01,RL20_A13_V01,RL20_A14_V01,RL20_A15_V01,RL20_A16_V01,RL20_A17_V01,RL20_A18_V01,RL20_A19_V01,RL20_A20_V01,RLU2_A01_V01,RLU2_A02_V01,RLU2_A03_V01,RLU2_A04_V01,RLU2_A05_V01,RLU2_A06_V01,RLU2_A07_V01,RLU2_A08_V01,RLU2_A09_V01,RLU2_A10_V01,RLU2_A11_V01,RLU2_A12_V01,RLU2_A13_V01,RLU2_A14_V01,RLU2_A15_V01,RLU2_A16_V01,RLU2_A17_V01,RLU2_A18_V01,RLU2_A19_V01,RLU2_A20_V01,RLU2M_A01_V01,RLU2M_A02_V01,RLU2M_A03_V01,RLU2M_A04_V01,RLU2M_A05_V01,RLU2M_A06_V01,RLU2M_A07_V01,RLU2M_A08_V01,RLU2M_A09_V01,RLU2M_A10_V01,RLU2M_A11_V01,RLU2M_A12_V01,RLU2M_A13_V01,RLU2M_A14_V01,RLU2M_A15_V01,RLU2M_A16_V01,RLU2M_A17_V01,RLU2M_A18_V01,RLU2M_A19_V01,RLU2M_A20_V01,RLU2M_A21_V01,RLU2M_A22_V01,RLU2M_A23_V01,RLU2M_A24_V01,RLU2M_A25_V01,RLU2M_A26_V01,RLU2M_A27_V01,RLU2M_A28_V01,RLU2M_A29_V01,RLU2M_A30_V01,RLU2M_A31_V01,RLU2M_A32_V01,RLU2M_A33_V01,RLU2M_A34_V01,RLU2M_A35_V01,RLU2M_A36_V01,RLU2M_A37_V01,RLU2M_A38_V01,RLU2M_A39_V01,RLU2M_A40_V01,RLV2C_A01_V01,RLV2C_A02_V01,RLV2C_A03_V01,RLV2C_A04_V01,RLV2C_A05_V01,RLV2C_A06_V01,RLV2C_A07_V01,RLV2C_A08_V01,RLV2C_A09_V01,RLV2C_A10_V01,RLV2C_A11_V01,RLV2C_A12_V01,RLV2C_A13_V01,RLV2C_A14_V01,RLV2C_A15_V01,RLV2C_A16_V01,RLV2C_A17_V01,RLV2C_A18_V01,RLV2C_A19_V01,RLV2C_A20_V01,RLV2C_A21_V01,RLV2C_A22_V01,RLV2C_A23_V01,RLV2C_A24_V01,RLV2C_A25_V01,RLV2C_A26_V01,RLV2C_A27_V01,RLV2C_A28_V01,RLV2C_A29_V01,RLV2C_A30_V01,RLV2O_A001_V01,RLV2O_A002_V01,RLV2O_A003_V01,RLV2O_A004_V01,RLV2O_A005_V01,RLV2O_A006_V01
RLU2_A09_V01,0.0,0.032258,0.032258,0.064516,0.064516,0.419355,0.483871,0.354839,0.451613,0.419355,0.483871,0.419355,0.387097,0.419355,0.451613,0.354839,0.419355,0.419355,0.483871,0.483871,0.354839,0.193548,0.290323,0.032258,0.064516,0.774194,0.806452,0.774194,0.741935,0.193548,0.193548,0.064516,0.032258,0.741935,0.548387,0.774194,0.645161,0.806452,0.774194,0.612903,0.709677,0.612903,0.741935,0.193548,0.516129,0.129032,0.129032,0.032258,0.677419,0.870968,0.548387,0.129032,0.064516,0.0,0.709677,0.870968,0.0,0.0,0.0,0.064516,0.483871,0.709677,0.516129,0.709677,0.451613,0.677419,0.677419,0.419355,0.516129,0.645161,0.774194,0.709677,0.580645,0.612903,0.709677,0.741935,0.580645,0.806452,0.741935,0.612903,0.387097,0.451613,0.645161,0.612903,0.741935,0.709677,0.677419,0.645161,0.645161,0.645161,0.677419,0.83871,1.0,0.806452,0.83871,0.806452,0.83871,0.83871,0.612903,0.645161,0.612903,0.612903,0.096774,0.129032,0.709677,0.709677,0.741935,0.709677,0.709677,0.709677,0.741935,0.741935,0.741935,0.741935,0.709677,0.709677,0.709677,0.677419,0.677419,0.677419,0.677419,0.709677,0.677419,0.709677,0.709677,0.741935,0.612903,0.677419,0.709677,0.83871,0.645161,0.677419,0.612903,0.677419,0.645161,0.548387,0.580645,0.709677,0.580645,0.129032,0.096774,0.129032,0.064516,0.193548,0.129032,0.064516,0.032258,0.129032,0.064516,0.096774,0.16129,0.0,0.032258,0.096774,0.032258,0.064516,0.0,0.16129,0.064516,0.064516,0.0,0.032258,0.032258,0.032258,0.064516,0.032258,0.064516,0.0,0.16129,0.064516,0.096774,0.129032,0.096774,0.064516,0.129032,0.0,0.096774,0.096774,0.032258,0.032258
RLU2_A10_V01,0.0,0.0,0.064516,0.064516,0.064516,0.354839,0.419355,0.322581,0.387097,0.354839,0.419355,0.354839,0.322581,0.387097,0.387097,0.290323,0.354839,0.387097,0.419355,0.419355,0.322581,0.193548,0.258065,0.032258,0.032258,0.741935,0.774194,0.774194,0.741935,0.225806,0.16129,0.032258,0.0,0.741935,0.516129,0.774194,0.612903,0.83871,0.741935,0.612903,0.709677,0.612903,0.741935,0.16129,0.451613,0.129032,0.096774,0.0,0.709677,0.870968,0.612903,0.096774,0.032258,0.0,0.741935,0.935484,0.0,0.032258,0.0,0.0,0.483871,0.774194,0.516129,0.806452,0.516129,0.741935,0.741935,0.483871,0.580645,0.709677,0.83871,0.774194,0.645161,0.677419,0.774194,0.806452,0.645161,0.83871,0.774194,0.677419,0.451613,0.516129,0.709677,0.677419,0.83871,0.774194,0.741935,0.741935,0.774194,0.741935,0.774194,0.870968,0.806452,1.0,0.870968,0.903226,0.870968,0.903226,0.774194,0.709677,0.709677,0.709677,0.129032,0.096774,0.806452,0.774194,0.806452,0.774194,0.806452,0.774194,0.83871,0.83871,0.83871,0.806452,0.774194,0.774194,0.774194,0.774194,0.774194,0.774194,0.774194,0.774194,0.774194,0.741935,0.774194,0.774194,0.709677,0.741935,0.774194,0.806452,0.709677,0.741935,0.612903,0.709677,0.774194,0.645161,0.612903,0.741935,0.677419,0.096774,0.096774,0.16129,0.096774,0.16129,0.096774,0.129032,0.032258,0.129032,0.064516,0.129032,0.193548,0.032258,0.129032,0.096774,0.064516,0.064516,0.064516,0.225806,0.064516,0.129032,0.032258,0.032258,0.032258,0.032258,0.064516,0.032258,0.096774,0.032258,0.193548,0.064516,0.129032,0.096774,0.096774,0.096774,0.129032,0.0,0.16129,0.064516,0.032258,0.0
RLU2_A11_V01,0.0,0.0,0.064516,0.032258,0.032258,0.419355,0.483871,0.354839,0.451613,0.419355,0.483871,0.419355,0.387097,0.419355,0.451613,0.354839,0.419355,0.419355,0.483871,0.483871,0.354839,0.193548,0.225806,0.0,0.032258,0.774194,0.806452,0.83871,0.774194,0.225806,0.193548,0.032258,0.0,0.806452,0.580645,0.806452,0.645161,0.83871,0.806452,0.677419,0.806452,0.677419,0.83871,0.16129,0.516129,0.129032,0.096774,0.064516,0.709677,0.870968,0.612903,0.064516,0.032258,0.0,0.741935,0.935484,0.0,0.032258,0.0,0.0,0.548387,0.741935,0.548387,0.774194,0.451613,0.709677,0.677419,0.419355,0.580645,0.677419,0.806452,0.741935,0.612903,0.645161,0.741935,0.774194,0.612903,0.83871,0.774194,0.612903,0.387097,0.451613,0.709677,0.645161,0.806452,0.741935,0.709677,0.709677,0.709677,0.741935,0.774194,0.903226,0.83871,0.870968,1.0,0.870968,0.870968,0.903226,0.677419,0.677419,0.677419,0.709677,0.096774,0.129032,0.774194,0.774194,0.774194,0.741935,0.774194,0.741935,0.806452,0.806452,0.806452,0.774194,0.774194,0.741935,0.741935,0.774194,0.741935,0.741935,0.741935,0.741935,0.741935,0.709677,0.774194,0.83871,0.677419,0.709677,0.774194,0.935484,0.709677,0.677419,0.612903,0.709677,0.709677,0.612903,0.580645,0.709677,0.645161,0.129032,0.096774,0.16129,0.096774,0.193548,0.129032,0.064516,0.032258,0.129032,0.032258,0.129032,0.193548,0.032258,0.064516,0.096774,0.096774,0.064516,0.032258,0.225806,0.032258,0.096774,0.032258,0.032258,0.032258,0.032258,0.096774,0.032258,0.096774,0.032258,0.193548,0.064516,0.129032,0.096774,0.096774,0.032258,0.096774,0.0,0.193548,0.096774,0.032258,0.0
RLU2_A12_V01,0.0,0.0,0.064516,0.064516,0.064516,0.354839,0.419355,0.290323,0.387097,0.354839,0.419355,0.387097,0.322581,0.354839,0.387097,0.322581,0.354839,0.354839,0.419355,0.419355,0.290323,0.16129,0.225806,0.032258,0.032258,0.741935,0.774194,0.774194,0.741935,0.225806,0.193548,0.032258,0.0,0.741935,0.516129,0.774194,0.612903,0.83871,0.741935,0.612903,0.709677,0.612903,0.741935,0.129032,0.483871,0.129032,0.129032,0.032258,0.709677,0.870968,0.580645,0.096774,0.032258,0.0,0.774194,0.935484,0.0,0.032258,0.0,0.0,0.483871,0.741935,0.548387,0.774194,0.483871,0.741935,0.709677,0.451613,0.580645,0.709677,0.83871,0.774194,0.645161,0.677419,0.774194,0.774194,0.645161,0.870968,0.806452,0.645161,0.419355,0.483871,0.709677,0.677419,0.806452,0.741935,0.709677,0.709677,0.709677,0.709677,0.741935,0.870968,0.806452,0.903226,0.870968,1.0,0.870968,0.903226,0.709677,0.677419,0.677419,0.677419,0.129032,0.129032,0.774194,0.806452,0.774194,0.741935,0.806452,0.741935,0.806452,0.806452,0.806452,0.774194,0.83871,0.741935,0.741935,0.741935,0.741935,0.741935,0.741935,0.741935,0.741935,0.709677,0.741935,0.774194,0.677419,0.709677,0.774194,0.806452,0.709677,0.741935,0.645161,0.677419,0.709677,0.612903,0.612903,0.709677,0.645161,0.064516,0.096774,0.16129,0.096774,0.225806,0.096774,0.129032,0.032258,0.16129,0.064516,0.129032,0.193548,0.032258,0.096774,0.096774,0.064516,0.096774,0.064516,0.258065,0.064516,0.129032,0.032258,0.032258,0.032258,0.032258,0.064516,0.032258,0.096774,0.032258,0.16129,0.064516,0.096774,0.064516,0.096774,0.064516,0.129032,0.032258,0.193548,0.096774,0.032258,0.032258
RLU2_A13_V01,0.0,0.0,0.064516,0.064516,0.064516,0.419355,0.483871,0.354839,0.451613,0.419355,0.516129,0.419355,0.387097,0.419355,0.451613,0.354839,0.419355,0.419355,0.483871,0.516129,0.354839,0.16129,0.225806,0.032258,0.064516,0.774194,0.806452,0.774194,0.741935,0.225806,0.16129,0.032258,0.0,0.741935,0.580645,0.774194,0.709677,0.83871,0.774194,0.645161,0.709677,0.645161,0.741935,0.16129,0.483871,0.096774,0.096774,0.064516,0.709677,0.870968,0.580645,0.064516,0.032258,0.0,0.741935,0.935484,0.0,0.032258,0.0,0.0,0.516129,0.741935,0.548387,0.806452,0.451613,0.709677,0.677419,0.419355,0.548387,0.677419,0.806452,0.741935,0.612903,0.645161,0.741935,0.774194,0.612903,0.83871,0.774194,0.612903,0.387097,0.451613,0.677419,0.645161,0.83871,0.774194,0.741935,0.741935,0.741935,0.774194,0.774194,0.870968,0.83871,0.870968,0.870968,0.870968,1.0,0.903226,0.709677,0.774194,0.709677,0.741935,0.096774,0.16129,0.806452,0.806452,0.806452,0.774194,0.806452,0.774194,0.83871,0.83871,0.83871,0.870968,0.806452,0.774194,0.806452,0.774194,0.774194,0.774194,0.774194,0.806452,0.774194,0.774194,0.741935,0.806452,0.709677,0.741935,0.774194,0.83871,0.741935,0.677419,0.612903,0.741935,0.741935,0.645161,0.612903,0.709677,0.677419,0.129032,0.096774,0.16129,0.064516,0.16129,0.096774,0.129032,0.032258,0.129032,0.064516,0.129032,0.129032,0.032258,0.129032,0.096774,0.064516,0.064516,0.064516,0.225806,0.064516,0.096774,0.032258,0.064516,0.032258,0.032258,0.064516,0.032258,0.064516,0.032258,0.16129,0.032258,0.16129,0.096774,0.096774,0.096774,0.129032,0.0,0.16129,0.096774,0.032258,0.0
RLU2_A14_V01,0.0,0.0,0.064516,0.064516,0.064516,0.419355,0.483871,0.354839,0.451613,0.419355,0.483871,0.419355,0.387097,0.419355,0.451613,0.354839,0.419355,0.419355,0.483871,0.483871,0.354839,0.193548,0.258065,0.032258,0.032258,0.774194,0.806452,0.806452,0.774194,0.225806,0.193548,0.064516,0.0,0.774194,0.548387,0.806452,0.645161,0.870968,0.774194,0.709677,0.741935,0.645161,0.774194,0.16129,0.483871,0.129032,0.096774,0.032258,0.741935,0.903226,0.612903,0.096774,0.064516,0.032258,0.774194,0.967742,0.0,0.032258,0.0,0.0,0.548387,0.806452,0.580645,0.83871,0.548387,0.806452,0.774194,0.516129,0.580645,0.709677,0.83871,0.774194,0.645161,0.677419,0.774194,0.806452,0.645161,0.870968,0.806452,0.709677,0.483871,0.548387,0.709677,0.709677,0.870968,0.806452,0.774194,0.774194,0.774194,0.774194,0.806452,0.903226,0.83871,0.903226,0.903226,0.903226,0.903226,1.0,0.741935,0.741935,0.741935,0.741935,0.096774,0.129032,0.83871,0.83871,0.83871,0.806452,0.83871,0.806452,0.870968,0.870968,0.870968,0.83871,0.83871,0.806452,0.806452,0.806452,0.806452,0.806452,0.806452,0.806452,0.806452,0.774194,0.806452,0.83871,0.741935,0.774194,0.806452,0.83871,0.741935,0.741935,0.677419,0.741935,0.774194,0.677419,0.677419,0.774194,0.709677,0.16129,0.096774,0.16129,0.096774,0.193548,0.096774,0.096774,0.032258,0.16129,0.064516,0.129032,0.193548,0.032258,0.096774,0.096774,0.064516,0.064516,0.064516,0.225806,0.064516,0.096774,0.032258,0.032258,0.032258,0.032258,0.064516,0.032258,0.096774,0.032258,0.193548,0.064516,0.129032,0.096774,0.096774,0.064516,0.129032,0.0,0.193548,0.096774,0.064516,0.0
RLU2_A15_V01,0.064516,0.0,0.064516,0.064516,0.064516,0.258065,0.354839,0.290323,0.322581,0.322581,0.354839,0.290323,0.258065,0.322581,0.322581,0.290323,0.290323,0.387097,0.354839,0.354839,0.258065,0.193548,0.258065,0.032258,0.064516,0.548387,0.580645,0.580645,0.580645,0.193548,0.096774,0.032258,0.0,0.548387,0.354839,0.612903,0.483871,0.677419,0.548387,0.483871,0.516129,0.483871,0.548387,0.193548,0.290323,0.096774,0.032258,0.0,0.580645,0.677419,0.516129,0.096774,0.032258,0.0,0.548387,0.741935,0.0,0.064516,0.0,0.032258,0.483871,0.709677,0.483871,0.870968,0.451613,0.612903,0.580645,0.419355,0.451613,0.580645,0.645161,0.612903,0.516129,0.548387,0.612903,0.645161,0.516129,0.645161,0.612903,0.548387,0.387097,0.451613,0.548387,0.548387,0.83871,0.83871,0.806452,0.806452,0.870968,0.806452,0.806452,0.709677,0.612903,0.774194,0.677419,0.709677,0.709677,0.741935,1.0,0.774194,0.870968,0.774194,0.129032,0.129032,0.806452,0.774194,0.806452,0.806452,0.774194,0.774194,0.806452,0.806452,0.806452,0.806452,0.741935,0.709677,0.774194,0.774194,0.774194,0.774194,0.774194,0.774194,0.774194,0.741935,0.741935,0.677419,0.774194,0.741935,0.709677,0.612903,0.677419,0.516129,0.451613,0.709677,0.741935,0.612903,0.548387,0.645161,0.677419,0.096774,0.064516,0.129032,0.064516,0.064516,0.064516,0.129032,0.032258,0.064516,0.064516,0.129032,0.129032,0.096774,0.129032,0.096774,0.064516,0.064516,0.064516,0.16129,0.064516,0.129032,0.032258,0.129032,0.032258,0.064516,0.064516,0.032258,0.064516,0.032258,0.16129,0.032258,0.096774,0.096774,0.096774,0.064516,0.096774,0.0,0.129032,0.032258,0.032258,0.032258
RLU2_A16_V01,0.064516,0.0,0.064516,0.064516,0.064516,0.322581,0.419355,0.290323,0.387097,0.354839,0.451613,0.322581,0.322581,0.354839,0.387097,0.354839,0.354839,0.387097,0.419355,0.451613,0.290323,0.193548,0.225806,0.032258,0.0,0.580645,0.612903,0.580645,0.580645,0.225806,0.096774,0.064516,0.0,0.548387,0.419355,0.612903,0.548387,0.645161,0.580645,0.516129,0.548387,0.483871,0.580645,0.16129,0.354839,0.096774,0.096774,0.064516,0.548387,0.677419,0.419355,0.064516,0.032258,0.0,0.580645,0.741935,0.0,0.064516,0.0,0.032258,0.483871,0.709677,0.516129,0.903226,0.387097,0.580645,0.548387,0.354839,0.451613,0.580645,0.645161,0.645161,0.451613,0.483871,0.580645,0.645161,0.451613,0.645161,0.612903,0.483871,0.322581,0.387097,0.516129,0.580645,0.83871,0.870968,0.870968,0.83871,0.806452,0.935484,0.83871,0.709677,0.645161,0.709677,0.677419,0.677419,0.774194,0.741935,0.774194,1.0,0.806452,0.903226,0.096774,0.096774,0.806452,0.774194,0.806452,0.806452,0.774194,0.774194,0.806452,0.806452,0.806452,0.870968,0.741935,0.741935,0.83871,0.774194,0.774194,0.774194,0.774194,0.83871,0.774194,0.806452,0.806452,0.774194,0.709677,0.83871,0.806452,0.645161,0.709677,0.516129,0.516129,0.741935,0.709677,0.612903,0.548387,0.709677,0.709677,0.096774,0.032258,0.129032,0.064516,0.096774,0.129032,0.129032,0.032258,0.064516,0.064516,0.096774,0.064516,0.096774,0.16129,0.064516,0.032258,0.032258,0.064516,0.16129,0.064516,0.096774,0.032258,0.129032,0.064516,0.064516,0.064516,0.032258,0.032258,0.032258,0.16129,0.032258,0.096774,0.129032,0.096774,0.096774,0.129032,0.0,0.193548,0.096774,0.032258,0.032258
RLU2_A17_V01,0.064516,0.0,0.032258,0.064516,0.064516,0.290323,0.354839,0.290323,0.322581,0.322581,0.354839,0.258065,0.225806,0.290323,0.322581,0.290323,0.290323,0.322581,0.354839,0.354839,0.225806,0.193548,0.258065,0.032258,0.032258,0.580645,0.612903,0.677419,0.580645,0.258065,0.096774,0.032258,0.0,0.645161,0.451613,0.612903,0.516129,0.645161,0.580645,0.516129,0.612903,0.516129,0.645161,0.193548,0.322581,0.064516,0.096774,0.032258,0.548387,0.677419,0.516129,0.096774,0.032258,0.032258,0.580645,0.741935,0.0,0.064516,0.0,0.032258,0.580645,0.709677,0.516129,0.903226,0.516129,0.612903,0.548387,0.419355,0.419355,0.612903,0.645161,0.645161,0.483871,0.516129,0.612903,0.645161,0.483871,0.645161,0.612903,0.516129,0.451613,0.516129,0.548387,0.580645,0.83871,0.870968,0.83871,0.83871,0.806452,0.83871,0.83871,0.709677,0.612903,0.709677,0.677419,0.677419,0.709677,0.741935,0.870968,0.806452,1.0,0.806452,0.096774,0.16129,0.806452,0.774194,0.806452,0.806452,0.774194,0.774194,0.806452,0.806452,0.806452,0.806452,0.741935,0.709677,0.774194,0.774194,0.806452,0.774194,0.806452,0.774194,0.806452,0.741935,0.741935,0.677419,0.741935,0.741935,0.741935,0.612903,0.677419,0.516129,0.516129,0.709677,0.709677,0.677419,0.548387,0.645161,0.677419,0.096774,0.064516,0.129032,0.096774,0.096774,0.096774,0.096774,0.032258,0.064516,0.064516,0.129032,0.129032,0.096774,0.129032,0.032258,0.064516,0.032258,0.064516,0.16129,0.064516,0.064516,0.032258,0.129032,0.032258,0.064516,0.0,0.032258,0.032258,0.032258,0.129032,0.032258,0.096774,0.096774,0.096774,0.064516,0.129032,0.0,0.225806,0.032258,0.032258,0.032258
RLU2_A18_V01,0.064516,0.0,0.064516,0.064516,0.064516,0.322581,0.419355,0.290323,0.387097,0.354839,0.451613,0.322581,0.322581,0.354839,0.387097,0.354839,0.354839,0.387097,0.419355,0.451613,0.290323,0.16129,0.16129,0.032258,0.0,0.548387,0.580645,0.612903,0.548387,0.258065,0.096774,0.032258,0.0,0.580645,0.451613,0.580645,0.516129,0.645161,0.580645,0.548387,0.548387,0.516129,0.580645,0.129032,0.354839,0.096774,0.064516,0.064516,0.548387,0.677419,0.451613,0.032258,0.032258,0.0,0.580645,0.741935,0.0,0.064516,0.0,0.032258,0.548387,0.741935,0.516129,0.903226,0.419355,0.612903,0.580645,0.387097,0.516129,0.612903,0.677419,0.677419,0.483871,0.516129,0.612903,0.677419,0.483871,0.677419,0.645161,0.516129,0.354839,0.419355,0.580645,0.612903,0.83871,0.870968,0.870968,0.870968,0.806452,0.967742,0.870968,0.709677,0.612903,0.709677,0.709677,0.677419,0.741935,0.741935,0.774194,0.903226,0.806452,1.0,0.096774,0.16129,0.806452,0.774194,0.806452,0.806452,0.774194,0.774194,0.806452,0.806452,0.806452,0.83871,0.741935,0.741935,0.774194,0.806452,0.774194,0.774194,0.774194,0.806452,0.774194,0.741935,0.83871,0.806452,0.709677,0.774194,0.741935,0.645161,0.709677,0.516129,0.516129,0.709677,0.709677,0.612903,0.580645,0.677419,0.677419,0.096774,0.064516,0.129032,0.096774,0.096774,0.129032,0.064516,0.032258,0.032258,0.032258,0.064516,0.129032,0.096774,0.129032,0.064516,0.096774,0.064516,0.064516,0.193548,0.032258,0.096774,0.032258,0.16129,0.064516,0.064516,0.064516,0.032258,0.032258,0.032258,0.193548,0.032258,0.064516,0.129032,0.096774,0.064516,0.096774,0.0,0.225806,0.096774,0.032258,0.032258
RLU2_A19_V01,0.129032,0.064516,0.129032,0.096774,0.096774,0.096774,0.129032,0.129032,0.096774,0.129032,0.096774,0.129032,0.16129,0.129032,0.064516,0.096774,0.096774,0.096774,0.129032,0.16129,0.096774,0.032258,0.0,0.096774,0.129032,0.096774,0.096774,0.096774,0.096774,0.064516,0.064516,0.096774,0.129032,0.096774,0.032258,0.096774,0.064516,0.096774,0.096774,0.064516,0.096774,0.064516,0.096774,0.032258,0.064516,0.064516,0.064516,0.032258,0.129032,0.096774,0.129032,0.096774,0.0,0.032258,0.129032,0.096774,0.16129,0.16129,0.16129,0.032258,0.064516,0.064516,0.032258,0.096774,0.096774,0.096774,0.096774,0.096774,0.032258,0.064516,0.096774,0.064516,0.096774,0.064516,0.096774,0.064516,0.064516,0.096774,0.064516,0.129032,0.096774,0.096774,0.096774,0.064516,0.129032,0.096774,0.096774,0.064516,0.096774,0.096774,0.096774,0.096774,0.096774,0.129032,0.096774,0.129032,0.096774,0.096774,0.129032,0.096774,0.096774,0.096774,1.0,0.0,0.096774,0.096774,0.129032,0.096774,0.129032,0.096774,0.096774,0.096774,0.096774,0.129032,0.129032,0.096774,0.129032,0.096774,0.16129,0.096774,0.16129,0.129032,0.16129,0.129032,0.16129,0.16129,0.16129,0.096774,0.129032,0.096774,0.129032,0.064516,0.096774,0.096774,0.129032,0.129032,0.064516,0.129032,0.129032,0.064516,0.16129,0.096774,0.0,0.129032,0.096774,0.032258,0.064516,0.16129,0.129032,0.064516,0.032258,0.0,0.064516,0.096774,0.129032,0.16129,0.096774,0.096774,0.096774,0.129032,0.032258,0.064516,0.032258,0.129032,0.032258,0.064516,0.032258,0.0,0.0,0.064516,0.064516,0.0,0.096774,0.16129,0.096774,0.064516,0.032258,0.0,0.096774,0.032258
RLU2_A20_V01,0.064516,0.032258,0.032258,0.032258,0.032258,0.064516,0.064516,0.064516,0.064516,0.064516,0.064516,0.064516,0.064516,0.032258,0.064516,0.064516,0.032258,0.032258,0.064516,0.064516,0.0,0.0,0.0,0.032258,0.032258,0.096774,0.096774,0.129032,0.129032,0.032258,0.064516,0.096774,0.064516,0.129032,0.129032,0.129032,0.16129,0.129032,0.096774,0.129032,0.096774,0.16129,0.096774,0.032258,0.129032,0.064516,0.064516,0.064516,0.129032,0.129032,0.096774,0.0,0.032258,0.032258,0.096774,0.129032,0.032258,0.0,0.032258,0.032258,0.129032,0.193548,0.096774,0.129032,0.064516,0.129032,0.129032,0.064516,0.064516,0.129032,0.129032,0.129032,0.064516,0.064516,0.129032,0.129032,0.064516,0.16129,0.129032,0.129032,0.064516,0.064516,0.129032,0.129032,0.129032,0.129032,0.129032,0.129032,0.096774,0.129032,0.16129,0.129032,0.129032,0.096774,0.129032,0.129032,0.16129,0.129032,0.129032,0.096774,0.16129,0.16129,0.0,1.0,0.129032,0.129032,0.129032,0.129032,0.129032,0.16129,0.129032,0.129032,0.129032,0.129032,0.129032,0.193548,0.096774,0.129032,0.129032,0.096774,0.129032,0.129032,0.129032,0.096774,0.129032,0.129032,0.129032,0.096774,0.129032,0.16129,0.096774,0.096774,0.096774,0.129032,0.064516,0.064516,0.129032,0.096774,0.096774,0.096774,0.096774,0.064516,0.096774,0.032258,0.032258,0.0,0.129032,0.129032,0.032258,0.096774,0.096774,0.064516,0.064516,0.032258,0.096774,0.096774,0.032258,0.0,0.032258,0.064516,0.032258,0.096774,0.0,0.064516,0.0,0.064516,0.0,0.096774,0.193548,0.096774,0.096774,0.064516,0.064516,0.032258,0.096774,0.064516,0.129032,0.064516,0.193548,0.064516
RLU2M_A01_V01,0.064516,0.0,0.064516,0.064516,0.064516,0.387097,0.483871,0.354839,0.451613,0.419355,0.483871,0.387097,0.354839,0.419355,0.451613,0.354839,0.419355,0.419355,0.483871,0.483871,0.354839,0.16129,0.258065,0.032258,0.032258,0.645161,0.677419,0.677419,0.645161,0.193548,0.064516,0.032258,0.0,0.645161,0.483871,0.677419,0.548387,0.741935,0.645161,0.580645,0.612903,0.548387,0.645161,0.16129,0.451613,0.096774,0.064516,0.032258,0.645161,0.774194,0.516129,0.064516,0.032258,0.032258,0.645161,0.83871,0.0,0.064516,0.0,0.0,0.516129,0.870968,0.580645,0.903226,0.419355,0.677419,0.645161,0.387097,0.516129,0.612903,0.741935,0.677419,0.516129,0.548387,0.677419,0.709677,0.516129,0.741935,0.677419,0.580645,0.354839,0.419355,0.612903,0.612903,0.935484,0.870968,0.83871,0.83871,0.83871,0.83871,0.870968,0.806452,0.709677,0.806452,0.774194,0.774194,0.806452,0.83871,0.806452,0.806452,0.806452,0.806452,0.096774,0.129032,1.0,0.83871,0.903226,0.870968,0.870968,0.903226,0.903226,0.903226,0.903226,0.903226,0.83871,0.83871,0.870968,0.903226,0.870968,0.870968,0.870968,0.903226,0.870968,0.83871,0.83871,0.774194,0.806452,0.870968,0.806452,0.709677,0.774194,0.612903,0.516129,0.870968,0.806452,0.741935,0.645161,0.741935,0.774194,0.096774,0.064516,0.129032,0.064516,0.129032,0.096774,0.129032,0.0,0.096774,0.064516,0.129032,0.16129,0.064516,0.096774,0.096774,0.064516,0.064516,0.064516,0.16129,0.096774,0.096774,0.032258,0.096774,0.032258,0.032258,0.096774,0.064516,0.032258,0.032258,0.16129,0.032258,0.096774,0.096774,0.064516,0.064516,0.129032,0.0,0.193548,0.096774,0.064516,0.064516
